,Name,Ratings,Year
0,The Shawshank Redemption,9.2,1994
1,The Godfather,9.1,1972
2,The Godfather: Part II,9.0,1974
3,The Dark Knight,9.0,2008
4,12 Angry Men,8.9,1957
5,Schindler's List,8.9,1993
6,The Lord of the Rings: The Return of the King,8.9,2003
7,Pulp Fiction,8.8,1994
8,"Il buono, il brutto, il cattivo",8.8,1966
9,The Lord of the Rings: The Fellowship of the Ring,8.8,2001
10,Fight Club,8.8,1999
11,Forrest Gump,8.8,1994
12,Inception,8.7,2010
13,The Lord of the Rings: The Two Towers,8.7,2002
14,Star Wars: Episode V - The Empire Strikes Back,8.7,1980
15,The Matrix,8.6,1999
16,Goodfellas,8.6,1990
17,One Flew Over the Cuckoo's Nest,8.6,1975
18,Shichinin no samurai,8.6,1954
19,Se7en,8.6,1995
20,La vita è bella,8.6,1997
21,Cidade de Deus,8.6,2002
22,The Silence of the Lambs,8.6,1991
23,It's a Wonderful Life,8.6,1946
24,Star Wars,8.6,1977
25,Saving Private Ryan,8.6,1998
26,The Green Mile,8.5,1999
27,Sen to Chihiro no kamikakushi,8.5,2001
28,Interstellar,8.5,2014
29,Gisaengchung,8.5,2019
30,Léon,8.5,1994
31,Seppuku,8.5,1962
32,The Usual Suspects,8.5,1995
33,The Lion King,8.5,1994
34,The Pianist,8.5,2002
35,Back to the Future,8.5,1985
36,Terminator 2: Judgment Day,8.5,1991
37,American History X,8.5,1998
38,Modern Times,8.5,1936
39,Psycho,8.5,1960
40,Gladiator,8.5,2000
41,The Departed,8.5,2006
42,City Lights,8.5,1931
43,The Intouchables,8.5,2011
44,Whiplash,8.5,2014
45,Hotaru no haka,8.5,1988
46,The Prestige,8.5,2006
47,Once Upon a Time in the West,8.4,1968
48,Casablanca,8.4,1942
49,Nuovo Cinema Paradiso,8.4,1988
50,Rear Window,8.4,1954
51,Alien,8.4,1979
52,Apocalypse Now,8.4,1979
53,Memento,8.4,2000
54,The Great Dictator,8.4,1940
55,Raiders of the Lost Ark,8.4,1981
56,Hamilton,8.4,2020
57,Django Unchained,8.4,2012
58,The Lives of Others,8.4,2006
59,Paths of Glory,8.4,1957
60,Joker,8.4,2019
61,WALL·E,8.4,2008
62,The Shining,8.4,1980
63,Avengers: Infinity War,8.4,2018
64,Sunset Blvd.,8.4,1950
65,Witness for the Prosecution,8.4,1957
66,Oldeuboi,8.3,2003
67,Mononoke-hime,8.3,1997
68,Spider-Man: Into the Spider-Verse,8.3,2018
69,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.3,1964
70,The Dark Knight Rises,8.3,2012
71,Once Upon a Time in America,8.3,1984
72,Kimi no na wa.,8.3,2016
73,Aliens,8.3,1986
74,Coco,8.3,2017
75,Avengers: Endgame,8.3,2019
76,American Beauty,8.3,1999
77,Braveheart,8.3,1995
78,Capharnaüm,8.3,2018
79,Das Boot,8.3,1981
80,3 Idiots,8.3,2009
81,Toy Story,8.3,1995
82,Tengoku to jigoku,8.3,1963
83,Amadeus,8.3,1984
84,Inglourious Basterds,8.3,2009
85,Star Wars: Episode VI - Return of the Jedi,8.3,1983
86,Good Will Hunting,8.3,1997
87,Taare Zameen Par,8.3,2007
88,Reservoir Dogs,8.3,1992
89,2001: A Space Odyssey,8.3,1968
90,Requiem for a Dream,8.3,2000
91,Vertigo,8.3,1958
92,M - Eine Stadt sucht einen Mörder,8.3,1931
93,Jagten,8.3,2012
94,Eternal Sunshine of the Spotless Mind,8.3,2004
95,Citizen Kane,8.3,1941
96,Dangal,8.3,2016
97,Full Metal Jacket,8.2,1987
98,Ladri di biciclette,8.2,1948
99,Singin' in the Rain,8.2,1952
